iter	RMSE
0	13.82782748
1	13.61235578
2	13.41137675
3	13.2157743
4	13.04480575
5	12.83478061
6	12.64494506
7	12.44510404
8	12.28143205
9	12.14797296
10	11.99936944
11	11.85626471
12	11.72954811
13	11.59167019
14	11.48947169
15	11.36632148
16	11.27616542
17	11.16752322
18	11.08057752
19	10.98956863
20	10.90443512
21	10.84602516
22	10.76591128
23	10.63511768
24	10.52574917
25	10.417545
26	10.34563263
27	10.26205228
28	10.18870633
29	10.12679126
30	10.03159881
31	9.97327207
32	9.900629985
33	9.846326479
34	9.787633105
35	9.727033916
36	9.680810209
37	9.629447687
38	9.583066577
39	9.51582218
40	9.445136645
41	9.397588509
42	9.357401302
43	9.296061954
44	9.251544054
45	9.193800936
46	9.151565014
47	9.108427544
48	9.07275853
49	9.040096833
50	8.997454694
51	8.960768707
52	8.935080958
53	8.905690469
54	8.870545248
55	8.840632148
56	8.808490594
57	8.779366605
58	8.745040058
59	8.723550024
60	8.699280125
61	8.68105611
62	8.659183705
63	8.641573423
64	8.613070307
65	8.585531923
66	8.565406193
67	8.545169299
68	8.526459888
69	8.505836856
70	8.488367278
71	8.472923737
72	8.464610779
73	8.449016393
74	8.430636826
75	8.420021405
76	8.401890236
77	8.389421995
78	8.37023703
79	8.35703026
80	8.343795909
81	8.329905117
82	8.315423029
83	8.298811343
84	8.279864439
85	8.269403408
86	8.257157094
87	8.24513351
88	8.228201235
89	8.208512318
90	8.198538871
91	8.181532707
92	8.167960535
93	8.157779848
94	8.142623458
95	8.129286635
96	8.114690305
97	8.098223634
98	8.086725026
99	8.075740845
100	8.065863565
101	8.055779282
102	8.045254265
103	8.037661363
104	8.027647142
105	8.020191496
106	8.012293756
107	8.005617195
108	7.998196382
109	7.993581402
110	7.987564588
111	7.982010391
112	7.971963935
113	7.966667557
114	7.956852443
115	7.950203195
116	7.94193894
117	7.935640524
118	7.930453368
119	7.925700028
120	7.92105263
121	7.916389216
122	7.912938515
123	7.90218372
124	7.897907303
125	7.89279838
126	7.885631788
127	7.876132988
128	7.870226534
129	7.864171476
130	7.85842696
131	7.849831781
132	7.842786336
133	7.837241097
134	7.831323283
135	7.824195675
136	7.819232117
137	7.815194874
138	7.805846895
139	7.801214578
140	7.797161569
141	7.793035198
142	7.788819549
143	7.782101472
144	7.776918724
145	7.771190715
146	7.765496443
147	7.760838389
148	7.753856865
