iter	Passed	Remaining
0	49	7295
1	96	7108
2	141	6880
3	186	6763
4	233	6732
5	286	6836
6	333	6773
7	381	6718
8	425	6618
9	469	6528
10	517	6492
11	563	6433
12	611	6401
13	659	6359
14	708	6329
15	757	6295
16	809	6283
17	887	6461
18	940	6436
19	1000	6451
20	1048	6392
21	1095	6324
22	1149	6297
23	1197	6238
24	1248	6191
25	1323	6263
26	1379	6234
27	1432	6188
28	1480	6124
29	1520	6031
30	1562	5947
31	1605	5870
32	1649	5798
33	1693	5729
34	1736	5657
35	1781	5590
36	1828	5536
37	1873	5473
38	1919	5412
39	1960	5341
40	2005	5284
41	2051	5225
42	2095	5164
43	2137	5100
44	2181	5042
45	2222	4976
46	2266	4919
47	2313	4867
48	2353	4804
49	2399	4751
50	2443	4695
51	2487	4639
52	2532	4586
53	2572	4525
54	2614	4468
55	2658	4414
56	2701	4361
57	2745	4307
58	2786	4250
59	2833	4203
60	2876	4149
61	2920	4097
62	2985	4075
63	3035	4032
64	3079	3980
65	3121	3925
66	3165	3874
67	3221	3837
68	3262	3782
69	3305	3730
70	3352	3682
71	3420	3658
72	3473	3616
73	3521	3569
74	3564	3517
75	3614	3471
76	3682	3443
77	3764	3426
78	3828	3392
79	3872	3339
80	3918	3289
81	3960	3235
82	4005	3185
83	4047	3131
84	4091	3080
85	4131	3026
86	4175	2975
87	4219	2925
88	4263	2874
89	4306	2823
90	4356	2776
91	4400	2726
92	4443	2675
93	4488	2625
94	4532	2576
95	4575	2526
96	4632	2483
97	4676	2433
98	4719	2383
99	4764	2334
100	4808	2285
101	4860	2239
102	4908	2192
103	4956	2144
104	5010	2099
105	5068	2056
106	5111	2006
107	5154	1956
108	5200	1908
109	5240	1858
110	5284	1809
111	5331	1761
112	5381	1714
113	5427	1666
114	5476	1619
115	5521	1570
116	5575	1524
117	5623	1477
118	5672	1430
119	5719	1382
120	5767	1334
121	5815	1287
122	5866	1240
123	5914	1192
124	5961	1144
125	6010	1097
126	6061	1050
127	6106	1001
128	6155	954
129	6200	906
130	6244	857
131	6286	809
132	6331	761
133	6378	714
134	6420	665
135	6466	618
136	6509	570
137	6552	522
138	6598	474
139	6641	426
140	6685	379
141	6732	331
142	6776	284
143	6819	236
144	6870	189
145	6915	142
146	6960	94
147	7002	47
148	7048	0
